country,state,city,station_id,station_type,pollutant,observation_date,year,value,unit,measurement_type,frequency,source
India,Andhra Pradesh,Kadapa,AP_KADAPA_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,5,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,14,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,61,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,28,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,8,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,15,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,58,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,26,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,6,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Nellore,AP_NELLORE_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,17,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Nellore,AP_NELLORE_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,55,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Nellore,AP_NELLORE_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,23,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Nellore,AP_NELLORE_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,5,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Ongole,AP_ONGOLE_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,17,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Ongole,AP_ONGOLE_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,53,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Ongole,AP_ONGOLE_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,18,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Ongole,AP_ONGOLE_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,5,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,15,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,72,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,33,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
